ACC,BAR,Grand Prix Circuit with Chicane,16,4655
ACC,BHA,Grand Prix Circuit,9,3908
ACC,COTA,Grand Prix Circuit,20,5513
ACC,DON,Grand Prix Circuit,12,4020
ACC,HUN,Grand Prix Circuit,14,4381
ACC,IML,Grand Prix Circuit,22,4959
ACC,IND,Grand Prix Circuit,14,4167
ACC,KYL,Grand Prix Circuit,16,4522
ACC,LAG,Grand Prix Circuit,11,3602
ACC,MIS,Grand Prix Circuit,16,4226
ACC,MON,Grand Prix Circuit,11,5793
ACC,BAT,Grand Prix Circuit,23,6213
ACC,NUR,Grand Prix Circuit,17,5173
ACC,OUL,Grand Prix Circuit,17,4307
ACC,PRI,Grand Prix Circuit,13,5770
ACC,SIL,Grand Prix Circuit,18,5891
ACC,SNE,Grand Prix Circuit,12,4779
ACC,SPA,Grand Prix Circuit,19,7004
ACC,SUZ,Grand Prix Circuit,18,5807
ACC,WAT,Grand Prix Circuit,11,5552
ACC,ZAN,Grand Prix Circuit,14,4252
ACC,ZOL,Grand Prix Circuit,10,4011
ACC,VAL,Grand Prix Circuit,14,4005
ACC,RBR,Grand Prix Circuit,10,4318
ACC,NUR,24H Nurburgring Circuit,170,25300
